timestamp,sensor_name,address,roll_deg,pitch_deg,yaw_deg,cal_system,cal_gyro,cal_accel,cal_mag
2026-08-28T19:27:12.747,IMU-2,0x29,-1.62,-156.69,238.06,0,3,1,0
2026-08-28T19:27:12.844,IMU-1,0x28,-1.12,155.38,84.56,0,3,1,0
2026-08-28T19:27:12.846,IMU-2,0x29,-1.62,-157.0,238.06,0,3,1,0
2026-08-28T19:27:12.944,IMU-1,0x28,-1.12,155.56,84.56,0,3,1,0
2026-08-28T19:27:12.945,IMU-2,0x29,-1.62,-157.12,238.06,0,3,1,0
2026-08-28T19:27:13.044,IMU-1,0x28,-1.12,155.56,84.56,0,3,1,0
2026-08-28T19:27:13.046,IMU-2,0x29,-1.62,-157.12,238.06,0,3,1,0
2026-08-28T19:27:13.144,IMU-1,0x28,-1.12,155.56,84.56,0,3,1,0
2026-08-28T19:27:13.146,IMU-2,0x29,-1.62,-157.06,238.06,0,3,1,0
2026-08-28T19:27:13.244,IMU-1,0x28,-1.12,154.94,84.56,0,3,1,0
2026-08-28T19:27:13.246,IMU-2,0x29,-1.62,-156.38,238.12,0,3,1,0
2026-08-28T19:27:13.344,IMU-1,0x28,-1.12,153.5,84.56,0,3,1,0
2026-08-28T19:27:13.346,IMU-2,0x29,-1.62,-155.06,238.06,0,3,1,0
2026-08-28T19:27:13.444,IMU-1,0x28,-1.12,151.06,84.62,0,3,1,0
2026-08-28T19:27:13.447,IMU-2,0x29,-1.62,-152.81,238.12,0,3,1,0
2026-08-28T19:27:13.544,IMU-1,0x28,-1.12,149.69,84.62,0,3,1,0
2026-08-28T19:27:13.547,IMU-2,0x29,-1.56,-151.12,238.06,0,3,1,0
2026-08-28T19:27:13.644,IMU-1,0x28,-1.75,148.94,84.19,0,3,1,0
2026-08-28T19:27:13.647,IMU-2,0x29,-0.94,-150.62,237.62,0,3,1,0
2026-08-28T19:27:13.745,IMU-1,0x28,-3.94,146.5,84.5,0,3,1,0
2026-08-28T19:27:13.748,IMU-2,0x29,1.12,-148.25,238.12,0,3,1,0
2026-08-28T19:27:13.844,IMU-1,0x28,-5.62,145.31,85.06,0,3,1,0
2026-08-28T19:27:13.847,IMU-2,0x29,2.94,-146.94,238.69,0,3,1,0
2026-08-28T19:27:13.944,IMU-1,0x28,-9.12,145.62,86.31,0,3,1,0
2026-08-28T19:27:13.947,IMU-2,0x29,6.06,-146.56,240.25,0,3,1,0
2026-08-28T19:27:14.045,IMU-1,0x28,-13.69,153.19,85.0,0,3,1,0
2026-08-28T19:27:14.048,IMU-2,0x29,10.94,-155.38,239.06,0,3,1,0
2026-08-28T19:27:14.145,IMU-1,0x28,-16.38,159.0,84.56,0,3,1,0
2026-08-28T19:27:14.148,IMU-2,0x29,13.31,-160.44,239.06,0,3,1,0
2026-08-28T19:27:14.245,IMU-1,0x28,-19.75,165.88,82.69,0,3,1,0
2026-08-28T19:27:14.248,IMU-2,0x29,16.56,-167.44,237.5,0,3,1,0
2026-08-28T19:27:14.345,IMU-1,0x28,-22.81,170.88,82.12,0,3,1,0
2026-08-28T19:27:14.348,IMU-2,0x29,19.75,-172.81,237.25,0,3,1,0
2026-08-28T19:27:14.445,IMU-1,0x28,-25.5,174.94,82.25,0,3,1,0
2026-08-28T19:27:14.448,IMU-2,0x29,22.31,-176.81,237.56,0,3,1,0
2026-08-28T19:27:14.545,IMU-1,0x28,-27.94,177.25,83.25,0,3,1,0
2026-08-28T19:27:14.547,IMU-2,0x29,24.56,-179.06,238.69,0,3,1,0
2026-08-28T19:27:14.645,IMU-1,0x28,-30.31,179.62,83.88,0,3,1,0
2026-08-28T19:27:14.646,IMU-2,0x29,26.81,178.5,239.44,0,3,1,0
2026-08-28T19:27:14.745,IMU-1,0x28,-31.12,-179.5,84.38,0,3,1,1
2026-08-28T19:27:14.747,IMU-2,0x29,27.38,177.75,239.88,0,3,1,1
2026-08-28T19:27:14.845,IMU-1,0x28,-32.12,-178.88,84.81,0,3,1,1
2026-08-28T19:27:14.846,IMU-2,0x29,28.38,177.19,240.38,0,3,1,1
2026-08-28T19:27:14.945,IMU-1,0x28,-33.56,-178.62,85.06,0,3,1,1
2026-08-28T19:27:14.946,IMU-2,0x29,29.75,176.94,240.75,0,3,1,1
2026-08-28T19:27:15.045,IMU-1,0x28,-35.25,-178.44,85.31,0,3,1,1
2026-08-28T19:27:15.046,IMU-2,0x29,31.31,176.69,241.06,0,3,1,1
2026-08-28T19:27:15.145,IMU-1,0x28,-35.44,-178.31,85.62,0,3,1,1
2026-08-28T19:27:15.146,IMU-2,0x29,31.38,176.62,241.38,0,3,1,1
2026-08-28T19:27:15.245,IMU-1,0x28,-35.5,-178.31,85.81,0,3,1,1
2026-08-28T19:27:15.246,IMU-2,0x29,31.5,176.69,241.56,0,3,1,1
2026-08-28T19:27:15.345,IMU-1,0x28,-36.38,-178.19,85.81,0,3,1,1
2026-08-28T19:27:15.347,IMU-2,0x29,32.25,176.5,241.62,0,3,1,1
2026-08-28T19:27:15.445,IMU-1,0x28,-37.0,-177.94,86.31,0,3,1,1
2026-08-28T19:27:15.447,IMU-2,0x29,32.81,176.25,242.19,0,3,1,1
